date,sku_id,dc_id,quantity,is_promotional,out_of_stock_lost_sales
2026-02-13,MED001,DC001,25.24,False,0.0
2026-02-13,MED001,DC002,21.69,False,0.0
2026-02-13,MED001,DC003,26.09,False,0.0
2026-02-13,MED001,DC004,30.98,False,0.0
2026-02-13,MED001,DC005,21.16,False,0.0
2026-02-13,MED001,DC006,21.16,False,0.0
2026-02-13,MED001,DC007,31.3,False,0.0
2026-02-13,MED001,DC008,26.76,False,0.0
2026-02-13,MED002,DC001,24.32,False,0.0
2026-02-13,MED002,DC002,29.2,False,0.0
2026-02-13,MED002,DC003,24.35,False,0.0
2026-02-13,MED002,DC004,24.34,False,0.0
2026-02-13,MED002,DC005,27.75,False,0.0
2026-02-13,MED002,DC006,17.36,False,0.0
2026-02-13,MED002,DC007,18.27,False,0.0
2026-02-13,MED002,DC008,23.87,False,0.0
2026-02-13,MED003,DC001,70.63,False,0.0
2026-02-13,MED003,DC002,89.18,False,0.0
2026-02-13,MED003,DC003,72.1,False,0.0
2026-02-13,MED003,DC004,65.05,False,0.0
2026-02-13,MED003,DC005,105.27,False,0.0
2026-02-13,MED003,DC006,81.63,False,0.0
2026-02-13,MED003,DC007,85.73,False,0.0
2026-02-13,MED003,DC008,64.88,False,0.0
2026-02-13,MED004,DC001,151.75,False,0.0
2026-02-13,MED004,DC002,160.33,False,0.0
2026-02-13,MED004,DC003,143.81,False,0.0
2026-02-13,MED004,DC004,163.8,False,0.0
2026-02-13,MED004,DC005,151.01,False,0.0
2026-02-13,MED004,DC006,155.06,False,0.0
2026-02-13,MED004,DC007,151.0,False,0.0
2026-02-13,MED004,DC008,183.13,False,0.0
2026-02-13,MED005,DC001,86.72,False,0.0
2026-02-13,MED005,DC002,62.97,False,0.0
2026-02-13,MED005,DC003,105.74,False,0.0
2026-02-13,MED005,DC004,59.26,False,0.0
2026-02-13,MED005,DC005,113.54,False,0.0
2026-02-13,MED005,DC006,42.46,False,0.0
