sku_id,product_name,dc_id,date,current_demand,baseline_demand,forecast_demand,surge_probability,demand_increase_pct,risk_level,surge_prediction,surge_status,surge_risk_score,surge_probability_pct
SKU-003,Azithromycin 500mg,DC-BLR,2026-11-07,248,235.42857142857142,0.0,0.9252891,-100.0,CRITICAL,1,SURGE,92.5,92.5
SKU-003,Azithromycin 500mg,DC-CHN,2026-10-06,264,236.85714285714286,86.33333333333333,0.82330287,-63.5504624060423,CRITICAL,1,SURGE,82.3,82.3
SKU-003,Azithromycin 500mg,DC-BLR,2026-10-06,272,229.57142857142858,82.66666666666667,0.8222902,-63.99087326437709,CRITICAL,1,SURGE,82.2,82.2
SKU-003,Azithromycin 500mg,DC-CHN,2026-11-07,259,236.57142857142858,0.0,0.6583534,-100.0,HIGH,1,SURGE,65.8,65.8
SKU-001,Paracetamol 500mg,DC-CHN,2026-10-06,228,216.85714285714286,65.66666666666667,0.5532524,-69.71892841597696,MEDIUM,1,SURGE,55.3,55.3
SKU-003,Azithromycin 500mg,DC-DEL,2026-11-07,264,256.42857142857144,0.0,0.26173738,-100.0,LOW,0,NO_SURGE,26.2,26.2
SKU-001,Paracetamol 500mg,DC-MUM,2026-11-07,222,239.0,0.0,0.22204632,-100.0,LOW,0,NO_SURGE,22.2,22.2
SKU-001,Paracetamol 500mg,DC-CHN,2026-11-07,197,221.71428571428572,0.0,0.19878735,-100.0,LOW,0,NO_SURGE,19.9,19.9
SKU-001,Paracetamol 500mg,DC-BLR,2026-11-07,198,216.71428571428572,0.0,0.18748054,-100.0,LOW,0,NO_SURGE,18.7,18.7
SKU-003,Azithromycin 500mg,DC-DEL,2026-10-06,293,253.57142857142858,88.0,0.12870766,-65.29577464925595,LOW,0,NO_SURGE,12.9,12.9
